b,M,R_blocks,T_b,bound_N34_over_b_logC,ratio,exc_blocks,exc_fraction,max_block_abs,T
1,200000,448,-442,1409043.4890690101,0.00031368797587080885,0,0.0,65,3149.964521578251
2,100000,224,232,704521.7445345051,0.0003293014045340618,0,0.0,63,3149.964521578251
3,66666,150,-128,469681.1630230033,0.0002725253003040512,0,0.0,63,3149.964521578251
4,50000,112,-134,352260.87226725253,0.0003803998983410714,0,0.0,67,3149.964521578251
5,40000,90,308,281808.69781380205,0.001092940006427705,0,0.0,53,3149.964521578251
6,33333,75,57,234840.58151150166,0.0002427178455832956,0,0.0,45,3149.964521578251
7,28571,64,177,201291.92700985857,0.0008793199142622902,0,0.0,63,3149.964521578251
8,25000,56,156,176130.43613362627,0.0008857072259881662,0,0.0,45,3149.964521578251
9,22222,50,214,156560.38767433446,0.0013668847093375066,0,0.0,55,3149.964521578251
10,20000,45,-216,140904.34890690102,0.0015329548142102875,0,0.0,41,3149.964521578251
11,18181,41,49,128094.8626426373,0.0003825290022496968,0,0.0,47,3149.964521578251
12,16666,38,36,117420.29075575083,0.0003065909628420576,0,0.0,49,3149.964521578251
13,15384,35,82,108387.96069761616,0.0007565415888648921,0,0.0,31,3149.964521578251
14,14285,32,-145,100645.96350492928,0.0014406936448365206,0,0.0,49,3149.964521578251
15,13333,30,-77,93936.23260460068,0.0008197050048207789,0,0.0,57,3149.964521578251
16,12500,28,-120,88065.21806681313,0.0013626265015202557,0,0.0,39,3149.964521578251
17,11764,27,-64,82884.91112170648,0.0007721550175281449,0,0.0,43,3149.964521578251
18,11111,25,-89,78280.19383716723,0.0011369414872059633,0,0.0,59,3149.964521578251
19,10526,24,52,74160.18363521105,0.0007011848872406316,0,0.0,43,3149.964521578251
20,10000,23,148,70452.17445345051,0.0021007158565103943,0,0.0,59,3149.964521578251
21,9523,22,-151,67097.3090032862,0.0022504628314170476,0,0.0,47,3149.964521578251
22,9090,21,-92,64047.43132131865,0.0014364354370192695,0,0.0,37,3149.964521578251
23,8695,20,33,61262.76039430479,0.0005386632888822261,0,0.0,47,3149.964521578251
24,8333,19,-79,58710.145377875415,0.0013455936702512527,0,0.0,57,3149.964521578251
25,8000,18,-118,56361.7395627604,0.0020936188434816433,0,0.0,55,3149.964521578251
26,7692,18,22,54193.98034880808,0.0004059491452445762,0,0.0,31,3149.964521578251
27,7407,17,-51,52186.79589144482,0.0009772586940590584,0,0.0,49,3149.964521578251
28,7142,16,138,50322.98175246464,0.002742285834309515,0,0.0,53,3149.964521578251
29,6896,16,38,48587.70651962104,0.0007820908357683968,0,0.0,49,3149.964521578251
30,6666,15,62,46968.11630230034,0.0013200444233477477,0,0.0,61,3149.964521578251
31,6451,15,3,45453.015776419685,6.600222116738738e-05,0,0.0,51,3149.964521578251
32,6250,14,52,44032.60903340657,0.0011809429679842216,0,0.0,23,3149.964521578251
33,6060,14,72,42698.28754754576,0.0016862502956313166,0,0.0,39,3149.964521578251
34,5882,14,46,41442.45556085324,0.0011099728376967083,0,0.0,45,3149.964521578251
35,5714,13,-66,40258.38540197172,0.0016394100096415577,0,0.0,57,3149.964521578251
36,5555,13,53,39140.096918583615,0.0013541100858857542,0,0.0,55,3149.964521578251
37,5405,13,157,38082.2564613246,0.004122654868401648,0,0.0,55,3149.964521578251
38,5263,12,-123,37080.09181760553,0.0033171438896383728,0,0.0,59,3149.964521578251
39,5128,12,42,36129.32023253872,0.0011624907341094683,0,0.0,53,3149.964521578251
40,5000,12,-98,35226.087226725256,0.002782029107270522,0,0.0,25,3149.964521578251
41,4878,11,-36,34366.91436753683,0.0010475191230436966,0,0.0,25,3149.964521578251
